Geneid	sub06	sub07	sub08	sub21	sub23	sub24
AT1G08865	0	0	0	1	0	0
AT1G05140	23	25	21	39	35	35
AT1G05150	18	8	23	7	8	11
AT1G05160	6	3	4	0	0	1
AT1G05170	3	2	5	6	11	12
AT1G04337	0	0	0	0	0	0
AT1G05180	21	13	12	17	4	20
AT1G05190	355	225	212	245	279	209
AT1G05200	14	17	12	10	4	6
AT1G04343	0	0	0	0	0	0
AT1G05205	7	6	5	8	16	11
AT1G04347	0	0	0	0	0	0
AT1G05210	6	2	7	7	4	8
AT1G05220	0	0	0	0	1	0
AT1G04353	0	0	0	0	0	0
AT1G05230	7	7	7	1	2	5
AT1G05240	0	0	0	0	0	0
AT1G04357	0	0	0	0	0	1
AT1G04363	0	0	0	0	0	0
AT1G04367	1	0	2	0	0	0
AT1G05250	0	0	0	0	0	0
AT1G05260	0	0	0	0	0	0
AT1G05270	19	9	8	1	0	3
AT1G05280	0	0	0	0	0	0
AT1G04373	0	0	0	0	0	0
AT1G05290	0	0	0	0	0	0
AT1G05291	0	0	0	0	0	0
AT1G04377	0	0	0	0	0	0
AT1G04383	0	0	0	0	0	0
AT1G04387	1	0	0	0	0	0
AT1G05300	10	12	38	72	80	213
AT1G05310	1	5	1	3	8	3
AT1G05320	14	10	11	4	12	19
AT1G05330	0	0	0	0	0	0
AT1G05340	0	0	3	1	1	16
AT1G05350	14	8	10	7	10	19
AT1G05360	4	3	3	2	1	2
AT1G05370	1	2	0	2	0	0
AT1G05380	16	14	18	6	3	6
AT1G05385	2	8	8	7	11	3
AT1G05390	0	0	0	0	0	0
AT1G05400	0	1	0	0	0	1
AT1G05410	5	5	4	10	7	4
AT1G05420	1	0	0	2	1	1
AT1G05430	11	8	11	19	13	8
AT1G05440	0	2	1	0	1	0
AT1G05450	0	0	0	0	0	0
AT1G05460	4	7	5	6	3	7
AT1G05470	6	5	5	1	1	1
AT1G05490	0	0	1	1	0	0
AT1G05500	32	27	17	15	22	26
AT1G05510	0	0	0	0	1	0
AT1G05520	13	12	36	12	11	13
AT1G05530	0	0	1	0	0	0
AT1G05540	1	1	3	0	3	0
AT1G05550	0	0	0	0	0	0
AT1G05562	0	0	0	0	0	0
